text,x,y
Do not buy the hole punch pockets from  these are so bad for folder use. https://t.co/bpHCzWVfyh,1.5386366,1.9012598
Hence that's why we needed a wheelchair. Can you please tell me what is the point in having ( one ) wheelchair ?,3.5997095,0.20004418
Is it only me that thinks the M&amp;S &amp; Tesco gf sandwich thins look under baked.  Not a spot of the warburton ones but they are hard to get,-1.1168631,0.94262034
"been waiting for a parcel to arrive since 29/10. Still no sign. Only 2/3 items arrived, and no receipt. Please contact me to follow up",4.180825,-2.3586426
"If you insist on closing nearly all self service tills before 9 at your Harrow station store, at least have more than 1 till staff.",3.1231742,-1.0472094
@123088 are all your stores too the midnight release for WW2 tonight?,4.5430846,-4.5111537
"After last weeks tweet about computer scoring by  I got a response from their resourcing team, sadly it was just a standard email response and not one that actually answered what I asked, oh well it's what I expected though.",4.623875,1.5280669
how does my parcel arrive at store looking like this?! And it's a gift! https://t.co/SKXQTIS8iO,3.9834242,-2.3866615
your tag indicated that the reduced price is £2.22 but you still charged me £2.50 which is the price before reduced ???,0.24866779,-2.1976266
"just paid £16 for 4 @23384 advent calendars only to find day 3 empty in all four! Looked inside the boxes only 18-22 items in each, last time I counted an advent calendar needed 24 days! #4boys disappointed 😔 #mumslife #martinlewis https://t.co/mojTbQgsiY",-1.3458792,-1.4040881
is there something wrong with the website? Was in the middle of an online shop &amp; now it’s saying it can’t direct me to the page?,3.1895406,-4.1899233
I give up... I'm running to tesco at this hour to get me some cake.,2.0811188,-1.0898098
lost all my discount off shopping vouchers in your Baldock branch today. Are they coded to my account? Can you resend them? Please help 😥,1.1525143,-3.4286695
"spotted today in Downham Market store, obviously an error, but I took full advantage, purchased 3 &amp; the duty manager couldn’t have been more professional.  Every little helps! https://t.co/2G0GKKoNGn",4.4834375,-4.5215244
please rethink the placement of @452109 as they are not actually gluten free!! Very misleading and potentially dangerous,-1.1882544,0.65071094
not a happy customer. shopping getting here late. few items missing. and getting chatted up by the delivery man. not impressed,4.008716,-1.7461944
"Yo , whatever is in this bottle of ginger beer, is not ginger beer.. https://t.co/pIFi5uiblq",-0.31612384,0.324601
"Hi there, is there anyway I can access last years Christmas shopping list on the delivery app? Thanks 🎅🏻🎄",2.5237904,-5.007282
"@117246  @117249 @Morrisons @sainsburys @marksandspencer @3878 @24073 @117250 @136881 Great Initiative from Aldi Uk, don't you think guys? Any thoughts from you all about it? Or would you rather see that perfectly edible surplus fresh produce rot in bins? https://t.co/q6AMp0Cxpf",0.55664355,0.26324606
suprised to be accosted by beggar outside your Reading Extra store on Oxford Road,2.4118907,-0.59805775
the people have spoken. We want more feta in this meal deal. https://t.co/02qJExWE8C,-1.3841007,0.8589648
I have to say that the staff at faringdon store are always really good. Shame I can’t say the same about today with the till supervisor/ manager seeing me struggling to use a self serve till and just look at me then just turning away.,3.1946151,-0.61741793
"I keep getting Sorry, an error occurred, please try again. when trying to check out, is this a problem at your end or mine?",2.9068418,-4.054975
- Princes Road Chelmsford - main entrance under water creating vehicular and pedestrian chaos - can you get someone in to clear? https://t.co/3P8jkvBsoT,3.8987544,-0.09529336
"I was eating some oranges from , looked at the label, post harvest processing... you need to check. Seriously.",-0.5049344,3.1793268
seriously??? WTF? https://t.co/R3JtVbs6qs,3.6258228,1.9108398
why is your 24 hour Streatham Extra store closed at 6.30am?,2.8510616,-1.5281868
Is it true that  are paying temporary staff via a pocket money card that they have to pay to withdraw money from? If so it’s disgusting and I will be boycotting,1.4416015,-2.7940779
my local tesco extra and online groceries dont sell dry puppy food? Why? Used to be able to get it but now nothing? May have to change where we shop if we cant get food for the doggy!,-0.6698435,0.013896094
"Why don't supermarkets sell precut pumpkins? #justathought #Halloween 
 @117249 @sainsburys @Morrisons @AldiUK @117246 @117250 @117248",0.4489903,0.7653254
I don't know his name but the security guard at the Kingsland Road store is SO lovely and sweet he makes my day 💞,3.1931043,-0.30888245
"can you tell me what quantifies as a cake for the use of this voucher? So far I have purchased a box of cakes and a pack if doughnuts yet neither time has it been accepted.
Confused of Birmingham https://t.co/VqUSEK10Lp",0.9947699,-3.3629746
Pnawn o beintio gyda Sarah  #calangaeaf # dosbarth ytraeth https://t.co/sXNLrMxUFm,1.8567653,-0.13676414
got a free dead wasp with me lettuce do I win a prize https://t.co/Q9l0G36vvQ,-2.1505947,3.003043
I just bought this avocado at my local Tesco... disgusting is right word!! https://t.co/4mFTfQrGJi,-0.49830332,3.7514093
"Please improve the taste of your sugar free lemonade. Love, a frequent customer/consumer of slightly more-expensive lemonade.",-0.41585612,2.873305
I'm collecting a range of gifts for children/teens in hospital at Scarborough over Christmas. Is there anything you could do to help please? 😘❤️,1.0534883,0.42875624
"hi, both mum and i agree that the chicken that has been delivered doesnt seem to be normal quality, rather small and dried up",-2.843432,1.3801612
why cant I complete my order online can’t get any further than the checkout says something went wrong,2.9946666,-3.7614524
"can you please find out if your Leeds Bramley, Leeds Seacroft Extra or Leeds Roundhay store still have FIFA 18 in stock please",0.6874425,-1.6361381
I have a printer that I brought 1 year and 4 days ago that now chews up the paper. Is there anything I can do about it?,0.9186908,-4.1885433
"The food in UK is so fresh, my wife found a live honey bee in packed spinach bought from",-0.68230295,2.157714
just been sick- dead fly in my salad https://t.co/EIKZhonZjl,-2.1137242,2.8339705
"Good first online shop from  but unfortunately my oranges have had a rough ride, how do I go about getting a refund for this item?? https://t.co/OG9nON6Zoy",3.0856183,-2.615387
@299776 why can't we get our semi skimmed from Tesco any more? Want to buy @28877 https://t.co/M7HcFkeV2S,1.1498356,-1.5435485
"I’m having problems with my Tesco delivery that’s meant to be delivered today. 
No sign of it even though the time slot was 10-11am, no call to say he’s on his way and the money hasn’t left my account. 
My ref number is 286269582, can someone let me know? Thanks",2.5826886,-2.1734858
is online grocery shopping down for everyone or just me? Site works fine but as soon as I log in and go to groceries the site gives me Oops error.,2.8609192,-4.24118
never shopping here again. Tried to buy baby teething granules today to be then told it’s a pharmaceutical drug and cannot be sold. Then why stock it then!?! Yet I bought it here two weeks earlier?  #terribleservice,-0.06739743,-0.4892754
"bought 6 pack of eggs but one was broken, which seems to have welded the rest of the eggs to the pack... https://t.co/buZCbmvMIw",-2.3238473,1.2456334
"@tesco Tesco Direct site states 'You can pre-order this product now for delivery on the launch date'. Launch date is 27/10, but my order says delivery by 31/10. Which is correct?",4.421686,-3.6292498
Mould adds to the flavour I guess?  only 3 months within date ... https://t.co/1O3GfC9XYS,-0.9500889,3.119215
Hi  I was told that Customer Service would ring me back on Monday...is everyone ill?,4.0844717,-1.6560826
"Hey , how come Great Western Road in Glasgow never has furniture polish or black bin bags? Students need to clean stuff too.",2.5065346,0.13987151
York Clifton store i bought a pizza when i opened it the topping was all to one side unpacking needs to be done correct not rushed,-1.9831986,0.69903857
@tesco What do you think of this mouldy bean? Tesco Pembury. https://t.co/lfUbMoVNYf,1.662344,-0.5268472
went to get my 3 for 2 on toys this morning but the offer has finished! Will there be anymore toy offers before Christmas? #tesco,1.0446218,-1.788448
are tesco in clowne open to collect call of duty ww2 tonight at midnight??,4.540111,-4.711968
"nobody at customer services, had to join huge tobacco queue. You really do not give a toss about your customers do you.",3.4351625,-1.0149903
what a joke- Collingham express (amazing rural #yorkshire store) now no longer stocking plain flour #landofyorkshirepuds #sortitout https://t.co/NqQth0FTOL,-0.26085228,0.07121797
why have you changed the recipe of your mayo it’s awful,-2.427382,1.9684256
Why can't you buy  Christmas wrapping paper as part of your grocery shop for delivery?,1.3419857,2.6638472
Is there nobody working today? @tesco,2.331869,-1.5954237
@131461 does this even exist??!! Been to four different Tesco’s and no staff knew anything about it!! https://t.co/QDLKaENXad,1.7587428,-1.3360459
"Hey. Is it absolutely essential that I bring my prescription when collecting glasses from the Opticians? The last time I collected glasses I didn't need it, but the email says it is essential.",5.1496067,-0.19102903
Tesco substituted my pie and then forgot my substituted pie. I'm a homesick northerner who's pie has been stolen.,-0.30163863,1.079138
employee ATTACKS CUSTOMER https://t.co/WiArbgoacM via @126972  every little help in showing why not not to shop there (this is not my video but one I was sent),3.4624135,-1.0152087
Hi  why is you Clubcard fob so hard to scan?  Even your self service staff at Warwick couldn't help!  Hopeless.,0.78665066,-4.473062
I’ve had cough medicine more spicy than your Spicy Chicken pasta,-2.0588899,2.1358106
Hi  were after some Halloween decorations and pumpkins for our Halloween party.. any chance you could help us out?,0.5552419,0.9890474
Hey  at the moment our Clethorpes Extra is called Tso Tra (missing the letters) This needs to be fixed oh... and put a Christmas light on there while your there!,2.6376314,0.5997646
"So  have rolled out new contactless clubcards, yet their “pay at pump” machines don’t actually accept them!!",0.70416176,-3.6458356
Can this voucher be used today? https://t.co/abUQeptckL,1.033968,-3.3906476
Patches of raw naan after heating up in the oven per instructions. Not fun to pick out the edible bits during a meal. https://t.co/TmHTUD4S4q,-0.96302927,2.2913997
@sainsburys  @Morrisons @117250  Are any of you other Supermarkets doing your bit to help those in need over Christmas like @AldiUK https://t.co/XRrwRTMFSg,0.63449097,0.2443867
#purley only has one flavour of @128564 #nondairy #vegan ice-cream. JUST ONE FLAVOUR! OUT OF THREE! how???????,-1.5873995,-0.06924353
outrageous customer services @tesco #caledonainroad - some customer care skills are strongly needed! #rude #disgusting #avoid,2.4000106,-0.8792721
Trying to do an  grocery delivery and the website has decided to stop working. Great.,2.8592415,-4.348823
"Non-existent customer service today, updated web site fail, IT help fail. 'Every little helps' catastrophic fail.  #unhappycustomer",3.6282,-1.3910245
"my last 3 Weeks of Savings coupon code isn’t working online despite meeting £70 minimum spend. Valid 06/11 - 12/11, delivery booked 11/11.  Week 1 and 2 worked fine. Can you help?",1.40389,-3.503708
This is the fourth time in a row that my  delivery has been delayed! Ridiculous!!!  explain yourselves!! 😠😠😠😡😡😡Grr....,4.5057883,-1.8074093
I would be watching #WonderWoman in 4K right now but thanks to  Entertainment department at Hermie Gait that ain’t happening 😒,1.883782,0.548603
. Travelled over 800 miles to be with family and waiting for shopping between 8-9pm. 23:30.nothing arrived! Disgusted. @479643,4.0563416,-1.4870617
Awful avocados from @marksandspencer one off &amp; the other too hard to cut! Should have stuck to Tesco!,-0.5185967,3.690889
- Big thanks 2 ur direct team 4 phoning check the order was me as sounded suspect - bank fraud discovered ASAP due to ur vigilance..😊,3.1074202,-2.853434
"you need to improve Click &amp; Collect at Warwick Superstore. Items are the other side of the store and you’re keeping customers waiting, very inefficient. How will you cope with Christmas?",4.3238707,-3.0150661
"Hi, I can’t seem to add an order note for the delivery to my nans address.",4.168858,-2.538835
How long does it take to convert points to Avios vouchers? I've been waiting over a week now... Thanks.,0.7037434,-3.8599615
Well...trying to make pumpkin pie in London doesn't work! Tried 3  &amp; 3 @sainsburys . none had pumpkin purée! Rubbish!,0.10283482,0.93052715
package was meant to be delivered to  today and no update on it 😩😩 so sad,4.1312876,-2.7224193
Just bought these Doritos from  express in Yeovil. Taste weird. Checked the date..... https://t.co/DVuxZYccxm,-0.86666346,1.4040589
Hello is there any chance of some minced pies/mulled wine for 2nd December Chingford Mount xmas choir service please? :),-0.1335777,0.80667984
. not impressed. I just opened my new packet of Tesco plain flour (BB Jan 2018) to find some 6-legged friends... 🐛🐛🐛🐛,-0.46366143,0.86038214
@405903 just got a free sample of Singapore curry from    it tasted amazing!  Good job,-1.1440725,1.9316058
Why does your website saying clothes are in stock at my local store yet staff say they haven't had any delivered yet?! Waste of time!,3.2836413,-3.1781776
have sent you a DM this morning :-),5.2494473,1.5931884
"just been refused old style £10 note as payment Tesco low Ousegate York, told it's not legal tender that is wrong",-0.14131685,-2.81538
saw 3 shelves of pastries cleared in to a bin bag. A strange way to transport food to the St Albans homeless shelter up the road! No?,2.5855534,0.15807743
when are your Christmas delivery slots out please?,5.331731,-2.69833
"Hi  , these Finest ham half slices appear significantly less than half. https://t.co/zmXN2AGHMJ",-1.4555002,1.0141377
saw this in Southend Extra for £29 but out of stock only display but says £39 online?!? https://t.co/CEZ16m80Do,0.32250637,-2.1821878
just visited great Notley Essex why don't you stock a basic calculator for £1 to £3 as don't need £9.99 scientific one?,0.22730903,-2.1399462
"huns, these oranges were dated 14.11.17, it’s the 19th why are they on the shop floor and why doesn’t the manager care that they’re stale? 🤮 https://t.co/70Gxf4viKE",-0.503038,3.1037068
sign clearly says Luxury tinsel £1. Yet charged £3 . Explain your signage please. https://t.co/sk3Oo7t1iP,0.2306746,-2.4371514
"no delivery, no communication re running late, this is becoming the norm again, poor service #tesco",2.4804454,-1.8691298
"I really really need your help!! I am desperately trying to find this mug: https://t.co/gxHO2wd0UY all the stores I have visited are out of stock, and they’re out of stock online. I really want to get them for a Christmas gift for my Mum! Please help me!! 😃",0.3592522,-0.4444293
"The faux fur throw bought in your Dumfries store today is Jack Russell Approved. 

(I'm not getting to share.) https://t.co/ZlRZQKYBN9",0.15884614,0.37661391
@sainsburys @marksandspencer @117250 @117246 Pls stop selling fruit&amp;veg in plastic nets which do not decompose &amp; destroy wildlife https://t.co/SRQY6AqT07,1.0752552,2.951417
"I'm sure  are doing me over with my clubcard points, I always forget to get the points on the day. So, go back a couple of days later with my receipts and somehow they only ever put 10 points on.. I've accumulated much more than 10 points on petrol there 🙄🙄🙄",0.51649576,-3.9289198
have you removed Everyday Value ready meals from Metro &amp; Express stores planogram ? None near me stock it anymore ?? Missing my awesome EV macheese on cheese &amp; toast https://t.co/8g2OneUx3K,-0.54733413,0.50524616
"ruining 11 year olds christmas’ since 2017! Let me place the order and even emailed to say it’s been dispatched and delivered, only to email me before collection to say it was unavailable! https://t.co/8hwVCpqojD",1.5806942,0.5306251
Stocked up for #christmaschocolate thanks to  offers. Let's see what lasts to Christmas https://t.co/p7H76SzB13,0.3885779,0.43777436
can you help me with an order please,4.0188427,-2.6963954
A massive thank you for the excellent service I received from Bel  Silverburn store she went above and beyond #everylittlehelps,3.1090255,-0.77741694
Thanks for displaying your Christmas elf accessories in a prominent place and obvious to children! They now know that parents buy everything for their magical  ‘elf on the shelf’  Christmas ruined 😡,1.7588223,0.6226791
Just bought this from  in Banbury. I make that less than about two thirds full. https://t.co/UCFOUQrqMX,0.6017724,-0.24322462
I bought one of your products and i had to take a week off work because of this.,1.1154447,1.2258456
sent you a dm,5.226488,1.5823437
"If you're going to sell xmas pudding from September, could you please also sell the brandy-laced cream that's needed to eat it?",-0.14606622,0.5114872
"most common thing I have found with my online grocery shop this morning is ""Oops, nothing here"". Very frustrating !",2.6532824,-4.1034794
"Somehow doubt the dirty, messy, shambolic  on the Old Kent Road has a manager, but if they do they need to sacked pretty quickly...",2.9713902,-0.40435377
"if restaurant vouchers say they’ll expire on 14/10/17, do they expire at midnight tonight, or did they expire at midnight last night?",0.9935709,-3.500822
"if you haven’t got enough copies of a new game on RELEASE DAY, maybe don’t put so many display cases out... 🖕",4.080819,-3.7937691
When your  delivery includes a melon 🍉 instead of a LEMON 🍋 🙄👏,-0.3040291,3.0933256
WHAAAAAAH! GRAPE GRIPE! I got some @123088 for ya. I found a half dead spider with a web of eggs inside my  grapes. Yuhuh. https://t.co/QOeK3LOGi3,-1.2161858,3.3117328
Top tip! Got £15 pounds in vouchers from Tesco yesterday 🙂I only ever buy a top up loaf and bits of fruit there so very happy with that! Thanks  😉 https://t.co/LV48AV0oEJ,-0.03629402,-1.4161406
fabulous deliver guy just dropped my shopping in. An absolute credit to you.,4.10374,-1.6761907
Why isn't your online shopping page working? I was halfway through my order 😑 https://t.co/g9zR18cfxx,3.10458,-3.982089
why isn't wonder woman on this boys outfit  . Justice leave includes wonder woman! My boy like the whole team @119777 https://t.co/eKGsUkXmor,1.9482976,0.6507394
Got some @370246 #CatSoup for Alan Cat 🙀 from  with voucher yesterday &amp; they actually added 50p onto the bill! ☹️😿 https://t.co/oZUwRQ0vif,0.5328589,-2.8513877
Sorry https://t.co/B3Ymjpam7J this is not the quality I would pick for myself. :-( Looks like it was picked by Edward Scissorhands https://t.co/7thBwWsPsG,-0.5627397,2.35985
"I finally decided to try a baguette from Tesco, as expected, not good.  you don't know how to baguette.",-0.87971365,0.4177131
How many days does  think its customers should take off work to receive a furniture delivery? #badcustomerservice,4.6501236,-1.9263256
and received... what is it? It don't look like the other picture https://t.co/VNTUzP6j8r,3.8588214,-2.5006607
orderd wife's birthday present online Monday morning for collection Tuesday from store still no email or txt to say it's arrived,4.054732,-2.5585022
"Your cafe staff at Pengam Green, Cardiff, on Sunday morning, were so happy and friendly. A credit to your company.  #greatservice",2.5041766,-0.41140747
aPEARently these are in date....  Surrey Quays trying to poison me this evening with their less than PEARfect food! https://t.co/G2Nc7wtkgx,-0.8688755,1.3801274
Come on  why do you only stock own brand #fruitandfibre in 500g - only lasts 2 days in our house !! https://t.co/jgGakbjdM9,-0.32664332,-0.22140813
Lady running tills at  Tidworth at 11 watched me for 3 minutes. When I started to load belt she opened other tills for those behind.,3.2940266,-0.7580385
HOW DARE YOU MAKE THIS WEIRD ASS CATERPILLAR CAKE. YOU ARE SLANDERING THE NAME OF COLLIN. https://t.co/HxNjApUnB8,-1.7981309,3.1296496
"do u guys make money off them 10p bag sales? at ur self service tills, hate how uve got rid of the 5p ones at thm tills, ""the 10p ones we will replace for free"" like I'm gonna carry tht bastard around wit me nxt time I go in",2.0780175,2.517523
Pupils bag packing 10-4 today  Dalgety Bay to raise funds for next BeathHS @64311 trip Oct18 👍🏻#partnership #globalcitizens https://t.co/pkIov7l0fj,1.3245842,1.2800187
my delivery was due to come an hour and a half ago but is still a no show and yet on the website it says it's been delivered. 😪😪😪,4.377099,-2.254753
"""always""? Never. I've actually never seen this machine available. https://t.co/DtxDOcfnXN",3.2090387,0.8056787
#Ayrshire people! Can you help out @44312 with some underwear? New and unopened. No old skants 😂 @Morrisons  @sainsburys @117249 https://t.co/EhNKhbXZlK,0.9871586,-0.20605111
I'm trying to activate my Clubcard with the details on my Clubcard but it says it doesn't match your records - please help. Thanks!,1.0596519,-4.161691
"Hi  have you stopped production of your Goodness Fruit Drink cartons? It was the only juice we could find which doesn't contain sugar or sweetener &amp; our son loves it, but our local store no longer seems to sell it :(",-0.14963281,-0.101103045
@115830 Thanks for fast &amp; furious 8 dvd! Pre ordered for delivery date release and now says be with you by Wednesday! I'll go to Tesco! 😡,2.174414,-2.0818753
I think you might need to adjust your best before dates. Doubt this occurred over night https://t.co/elrFZ4IM8N,-0.88711005,1.3170353
disgusting!!! https://t.co/2AYtfjEblX,-0.22843625,2.3163927
"Hi, I don’t suppose Tesco Musselburgh are doing a midnight launch for Call of Duty, seen they close at midnight ?",4.4886155,-4.629307
Wtf  everytime I visit formby store it stinks like a turkish drain in summer. Staff can't smell the bullshit but they can talk it !,2.6192906,0.17820777
More trials and tribulations with your website - I can't find the button to add an item to a stored shopping list. Can you ask your tech team to restore it please? I don't think I've found a single thing about the revamped site that makes it easier or better to use ☹️,2.4480503,-5.0079193
can you stock Harissa paste in Duke’s Green store please? Thanks,0.05918115,-0.99330366
And now there’s no delivery slots in my area for the rest of the week. SRSLY? Can you get back to me.,4.8725076,-3.1455216
"Really is a depressing sight going in late night at  and seeing the huge sacks of food (mainly breads) being collected destined for the skip.
Wasted resource.
Wasted money.
Wasted energy.
Something has to change...",-0.754687,0.56077826
Everything it seems #Tesco  😂 https://t.co/Pti4rFx51Y,1.8071655,-0.63691914
"Drove 20mins to ""24hr""  for shiny new @117331. An hour later it's bricked. Drove back, told returns close at 10pm. Thanks all.",4.6424203,-2.0723464
becoming a regular occurrence this https://t.co/5R2O4JY0L0,3.294307,1.1785629
So glad I picked up the  magazine and scraped every penny I had together to buy a bottle of rum for this festive treat! Christmas Pudding rum is already infusing ready for my Christmas meal with my best friends 🥃💛👌🏻 https://t.co/oF0XJBv77q,-0.08945653,0.45004264
"Collecting large cardboard boxes for @793468 charity sleepout on 8th December to help raise funds for @108987 (a local homeless charity for 16-25 yr olds).

If able to help just let me know and I will arrange for collection

@6529 @117249 @108988",0.9347413,0.41200224
Planned dinner tonight was the fresh chicken from the  delivery and apparently they had none and no substitutions.. 😭,-2.6988082,1.4595456
"Hi, we have been waiting for order number 4P684WBYV to be delivered to Crawley Hazelwick store to collect. Email advised should arrive on 21/11 but no info to say it has been delayed or delivered. Tracking shows it has been with despatch office since Monday. Please help.",4.158282,-2.6350307
Why does . discriminate against customers living in rural areas - or who do not drive a car - with over-inflated prices? #unethical,0.757622,-2.4226334
I'm starting to lose hope in these guys..  - they promise help then go quiet on me.,0.7757876,0.19208704
"I've just bought @75784 Mag &amp; asked for the free fruit bowl snack - didn't get 1, staff didn't know what it was. How do I get it? https://t.co/0cLX4MMBuo",0.39401743,2.2604904
My delivery was late for 1h+ 5 times in a row now! Still waiting for today's one and no word from a driver at all! So rude! Grrrr.,4.5432115,-1.1850636
What’s the deal with the ridicules breakdown of change you get from the self service machine in  complete nuisance,-0.042608935,-3.234224
Uh  why is there a piece of bandage looking material in my salt and pepper bloomer? https://t.co/etUXneofVu,-1.0672314,2.5733755
are you going to sell overdue food all the time to customers and tell them sorry please go to the store and change a new one?@127588 @262202 @128305 @123088 https://t.co/8qf4dBwqZH,3.3072548,-1.5986749
I bought this tub of Coleslaw from #Tesco #Millharbour I just opened it to have with dinner &amp; it has a hair sitting right on top! https://t.co/XQDqjC2F71,-2.0120173,2.3352149
@385542  sold us 2 out of date itsu noodles testerday. I actually ate one for lunch without realising. #nothappy https://t.co/vbCRtTh1Kf,-1.1770215,1.2871783
. Strange coincident you fail to deliver my shopping now im being ignored on the private dm u asked for. Sort out ur customer service,3.88466,-2.2558982
"Do you know when the November statement/vouchers (incl Christmas saver vouchers) should be arriving? It seems to have ticked over to next collection period online, but nothing yet arrived in the post.",5.34064,-2.8328235
